Node 0: X: 10.5, Y: 14.4, Value: 0.0
Problem with budget 40.0
Node 29: X: 5.6, Y: 11.1, Value: 0.03508771929824561
  -> Connected to Node 0 with distance 5.91
  -> Connected to Node 1 with distance 6.35
  -> Connected to Node 5 with distance 9.80
  -> Connected to Node 6 with distance 9.53
  -> Connected to Node 13 with distance 9.66
  -> Connected to Node 15 with distance 7.28
  -> Connected to Node 16 with distance 6.67
  -> Connected to Node 17 with distance 2.64
  -> Connected to Node 18 with distance 5.87
  -> Connected to Node 19 with distance 8.58
  -> Connected to Node 20 with distance 8.83
  -> Connected to Node 26 with distance 9.18
  -> Connected to Node 27 with distance 7.29
  -> Connected to Node 28 with distance 4.14
  -> Connected to Node 30 with distance 7.83
  -> Connected to Node 31 with distance 7.89

Problem with budget 40.0
Node 30: X: 4.9, Y: 18.9, Value: 0.03508771929824561
  -> Connected to Node 0 with distance 7.18
  -> Connected to Node 1 with distance 7.92
  -> Connected to Node 12 with distance 8.39
  -> Connected to Node 17 with distance 9.58
  -> Connected to Node 18 with distance 9.48
  -> Connected to Node 19 with distance 6.43
  -> Connected to Node 20 with distance 5.20
  -> Connected to Node 21 with distance 6.94
  -> Connected to Node 22 with distance 6.19
  -> Connected to Node 23 with distance 6.86
  -> Connected to Node 24 with distance 9.13
  -> Connected to Node 25 with distance 5.68
  -> Connected to Node 26 with distance 3.45
  -> Connected to Node 27 with distance 3.98
  -> Connected to Node 28 with distance 6.64
  -> Connected to Node 29 with distance 7.83
  -> Connected to Node 31 with distance 2.40

Problem with budget 40.0
Node 31: X: 7.3, Y: 18.8, Value: 0.03508771929824561
  -> Connected to Node 0 with distance 5.44
  -> Connected to Node 1 with distance 6.11
  -> Connected to Node 6 with distance 9.44
  -> Connected to Node 8 with distance 9.15
  -> Connected to Node 9 with distance 7.75
  -> Connected to Node 10 with distance 8.84
  -> Connected to Node 11 with distance 8.59
  -> Connected to Node 12 with distance 6.04
  -> Connected to Node 13 with distance 7.83
  -> Connected to Node 17 with distance 9.02
  -> Connected to Node 18 with distance 7.94
  -> Connected to Node 19 with distance 4.08
  -> Connected to Node 20 with distance 2.80
  -> Connected to Node 21 with distance 4.65
  -> Connected to Node 22 with distance 4.39
  -> Connected to Node 23 with distance 5.55
  -> Connected to Node 24 with distance 8.10
  -> Connected to Node 25 with distance 5.20
  -> Connected to Node 26 with distance 1.42
  -> Connected to Node 27 with distance 1.78
  -> Connected to Node 28 with distance 5.44
  -> Connected to Node 29 with distance 7.89
  -> Connected to Node 30 with distance 2.40

Problem with budget 40.0
Average distance between nodes: 6.127436130520325
